Region,mean_catch
BER,16372.549019607843
KTZ,18836.14457831325
ALU,40383.90804597701
NRS,51502.7027027027
KSK,67642.35294117648
YUK,68645.56962025317
YAK,91922.91666666667
GSE,133841.46341463414
COP,179223.40425531915
NOP,229493.47826086957
CHG,315487.2727272727
CKI,683571.4285714285
SOP,1110942.2222222222
PWS,1419236.6972477064
KOD,1528350
NSE,1825020.8695652173
BRB,2709796.49122807
SSE,3184660.714285714
